是冬眠呀	2020-03-12 15:41:19	有48.5成本的吗举个爪 让我知道我不是一个人	15
黄黄子666	2020-03-13 09:36:49	我45.7割肉拋的	0
兔子和青蛙	2020-03-13 09:29:23	48抄底到46.50今天这个情况还要不要抄底了	0
股市坑里抓泥鳅	2020-03-12 21:21:46	70见。以后见不到40多了。快买吧	0
基民WsRo4a	2020-03-12 21:17:29	48.57	1
股友JJwQ9J	2020-03-12 20:12:00	严格算来应该是33，可是本散不会这么算，今天开始第三次进场	0
股友RkcRL5	2020-03-12 19:52:13	46.8	0
两天打鱼三天晒网	2020-03-12 18:43:09	亏了5300了	0
百练成神	2020-03-12 17:33:49	我46.8	0
股友HcrOeL	2020-03-12 17:09:36	我是48.5	0
阿枫7	2020-03-12 17:03:00	47	0
股友4mM8tZ	2020-03-12 16:48:51	我实在受不了，了拿不住了	0
终于踏准节奏	2020-03-12 16:44:44	44.68	0
柴可斯芙基	2020-03-12 16:44:05	46.8	0
股友cbRN19	2020-03-12 16:17:10	我48.4元	0
我是芯片砖家	2020-03-12 16:16:18	70	1
股友9e96SJ	2020-03-12 15:51:34	我是49.5还不少5000股，拿着吧，长期60没问题，a股让国外给带跑偏了。	0
鸣嘉财富	2020-03-12 15:46:26	我50	0
已当韭菜很多年	2020-03-12 15:45:23	前来报道	0
已当韭菜很多年	2020-03-12 15:44:58	48.66	0
