股友nWV4Gg6601	2020-07-30 11:42:18	还有45买的朋友吗？	11
Sanja	2020-07-30 14:52:39	36.7	0
金玉州鹤的无崖子	2020-07-30 14:19:27	55买的，62买了，现在70接回来	0
赚钱买鞋穿L	2020-07-30 13:48:44	五月底45进的，57出了，现在65又回来了	0
Mollie0630	2020-07-30 13:46:44	38的在这	0
kisho	2020-07-30 13:29:47		0
深陷泥潭的小妖精	2020-07-30 13:19:46	47	0
股友nWV4Gg6601	2020-07-30 13:17:48	我是3三月份买的，	0
那年的那货	2020-07-30 13:16:59	拿好吧，最少涨到1百以上	0
股友d0uUER	2020-07-30 13:16:20	50卖了	0
拥有人鱼线的小李	2020-07-30 13:12:44	2月份44进了10手	0
HyunaPaPa	2020-07-30 13:00:22	42的都有呢	0
HyunaPaPa	2020-07-30 12:57:38	42买的，44出去了，后来46进来就到现在了	1
