股友KgfNC1	2020-06-15 10:28:04	你们多少钱进货的都赚了多少了真眼馋	5
历史惊人的一样	2020-06-15 21:11:12	43进，52出，6000股，胆子小，跑了	1
我是巴菲特的鼠标	2020-06-15 17:54:17	36进 过年时间涨到51没卖 前段时间跌到44也没卖 当然 现在也没卖	1
赚钱买鞋穿L	2020-06-15 14:47:55	44.5进的，第二天就开涨，已经20多个点了	1
二杰二杰	2020-06-15 14:43:21	53.5	0
百分之一定律	2020-06-15 13:15:07	56	0
基民3askHR	2020-06-15 12:55:06	48进 51出	0
比尔1314	2020-06-15 12:34:14	42进	0
白羽钟云	2020-06-15 12:21:32	现在刚刚到我的持仓点位，两年了	0
一波老韭菜	2020-06-15 11:40:08	48.6进的	0
你是哪块小饼干啊	2020-06-15 11:24:57	45	0
巴赫的股票	2020-06-15 11:02:30	52.3进的，	0
