带量破上轨	2020-08-26 18:00:19	中报这么晚？	3
alann66	2020-08-26 22:11:41	得等半夜鸡叫	0
大灰狼1981	2020-08-26 22:00:54	我要睡觉了呀 还不发	0
股友b8WRVh9485	2020-08-26 20:50:55	猜测3.8亿	0
一理想一	2020-08-26 20:08:00	27号才是吧。	0
肤白貌美大长腿	2020-08-26 19:30:54	大涨 哈哈 大利好	0
专心做	2020-08-26 19:05:25	我给你预测一下，应该正利润3亿左右。	0
六月追梦	2020-08-26 18:34:17	不会好看的，别太期望了，股价说明一切	0
股友mYWtHm	2020-08-26 18:28:12	20点	0
胜券在握稳	2020-08-26 18:15:18	好事多磨	1
胜券在握稳	2020-08-26 18:11:49	慢工出细活别着急	1
捉yao记0718	2020-08-26 18:11:44	有雷	0
股友2kbhpD1615	2020-08-26 18:06:36	参考深物业的走势	0
