基民EMlkKs	2020-10-09 12:08:44	有没有五块五进场的，套了一个多月了	13
一买就暴涨66	2020-10-20 13:36:11	5.15的还在站岗	0
个个都说股市钱好赚	2020-10-20 13:32:39	我5.2买的	0
翡翠州鹤的逍遥子	2020-10-20 13:21:53	我的4.83	0
股友ygGwUv	2020-10-20 11:48:24	8.3的还有	0
股友GocfUw	2020-10-20 11:33:13	5.6五万八千股快坚持不住了	0
基民EMlkKs	2020-10-20 11:12:37	兄弟，看到你，我就放心啦。	0
暴走的摩羯座	2020-10-11 14:30:12	还好有这么多弟兄陪伴	0
昂首向钱	2020-10-10 21:25:15	5.12	0
股友gpv7xi	2020-10-10 16:47:09	5.60	0
是能能啊	2020-10-09 21:37:44	4.31	0
牛2021牛10	2020-10-09 19:33:55	成本降到5.16了	0
A股一韭菜	2020-10-09 19:04:21	5.26	0
新手fc	2020-10-09 18:41:37	5.59	1
友哥天下	2020-10-09 18:28:11	接近6元	1
Synnex	2020-10-09 15:20:44	5.54	0
韭菜苗就是这样	2020-10-09 14:26:07	我就是啊	0
股友BQuS1H	2020-10-09 13:40:57	5.78	0
股友LgUX2H	2020-10-09 13:38:12	八块，套了三年了	3
开心就好1980	2020-10-09 12:52:30	5.61	0
